Question,Answer
"public class OperatorPrecedence {
    public static void main(String[] args) {
        int a = 7 * 3 + 24 / 3 - 5;
        int b = (7 * 3) + (24 / 3) - 5;
        System.out.print(a + "", "" + b);
    }
}","24,24"
"public class Precedence {
    public static void main(String[] args) {
        int x = 20;
        int y = 10;
        double z = x++ - y * 7 / --y + x * 10;
        System.out.println(z);
    }
}",223
Which Access specifier has less scope in JAVA default or protected?,Default
"What is the output of following code snippet
 
X = [1,2,3,4,5,6]
 
Try:
        print(x[-7])
except Exception as e:
        print(""Error"")
finally:
        print(len(x))","Error
6
"
"What is the output of the following Java code?

public class array
{
        public static void main(String args[])
        {
                int []arr = {1,2,3,4,5};
                System.out.println(arr[5]);
        }
}",ArrayIndexOutOfBound Exception 
Which is the world’s first major cloud service provider?,AWS
The value of correlation can be -0.14? ,TRUE
The relation between dependent variable and one or more independent variable is called?,Regression
Name the architecture in which a user can own some private servers as well as they can distribute some of the workloads on the public cloud?,Hybrid
Which of the following feature is used for scaling of EC2 sites in AWS?,Auto Scaling
Which one of the two is the subset of machine learning? Deep Learning Artificial Intelligence,Deep Learning
"Which cloud service supply an on-demand environment for developing, testing, delivering and managing software applications.",PaaS
What is a virtual server platform that allows users to create and run virtual machines on Amazon’s server farm.,EC2
How many types of Cloud Deployment models are there?,4
Is it possible to add an existing VM to an availability set in Azure?,yes
Office 365 is which type of cloud service by Microsoft Azure?,SaaS
Which AWS cloud-based storage system allows you to store data objects ranging in size from 1 byte up to 5GB.,S3
Normal distribution is also known as?,Gaussian
Which company is the biggest client of Amazon web services on the basis of cost borne?,Netflix
Which of the following dynamically grow and shrink the load-balancing capacity to adjust to traffic demands?,Elastic Load Balancing
A type of data which consists of observations on only a single characteristic or attribute.,Univariate
What is the other name of Python Data Analysis Library?,Pandas
The value that appears most often in a set of data values is called?,Mode
.Amazon EBS currently supports up to ________ IOPS per volume,1000
Which role is in Microsoft Azure?,VM Role
The matrix multiplication of 4*3 and 3*4 order gives the matrix of order?,4*4
When all the values along main diagonal is one then which matrix it is?,Identity
What is the full form of Blob?,Binary Large Object
Digital Ocean is an example of?,IaaS
Amazon _______ is a web service that provides real time monitering to Amazon’s EC2 customers.,CloudWatch
.IAM in AWS refers to ____.,Identity & Access Management
.Which AWS service allows you to create instances of the MySQL database to support your Web sites?,AWS RDS
"Write the output of the following code as per the following csv file
Name, FileNo, Country
Sam, 13242, Brazil
Bruno, 14321, Argentina
 
import pandas as pd
df = pd.read_csv(“data.csv”)
print(df.loc[df[“Name”]==”Bruno”][“FileNo”].values[0])
",14321
Who created Bitcoin?,Satoshi Nakamoto
Who created Ethereum?,Vitalik Buterin
What hashing algorithm does bitcoin generally use?,SHA-256
What large-cap company has created their own blockchain for commercial as well as personal uses? The blockchain goes by the name 'Hyperledger,IBM
What kind of networks do blockchains use?,P2P
On what item was the first Bitcoin spent?,Pizzas
By what attack can one control a complete blockchain network and all of its nodes?,51% Attack
"Say there are 32 transactions as leaf nodes. If you are using a merkle root tree, how many layers does the tree have?",log base 2 (32) + 1 = 6
Where can blockchain be used exclusively in Indian politics? ,Elections
What kind of linked list represents how blocks are connected in a blockchain?,Doubly-ended LL
Full form of xss?,cross site scripting
Full form of sql ?,structured query language
Full form of CBC ?,Cipher block chaining
Command to list directories in linux ?,ls
IDS fullform?,Intrusion detection system.
PORT number of ssh ?,22
FTP full form ?,file transfer protocol
What is nmap used for?,Port scanning
Full form of IPS?,Intrusion prevention system.
Which type of hacking is a legal hacking?,Ethical Hacking
What is the first step in web application hacking?,Reconnaissance
CVE full form ?,Common vulnerabilities and exposures
Are risk and threat the same? ,No
Web page editors works on a ____ principle,WYSIWYG
Which program is used by web clients to view the web pages?,Web Browser
What is the Unique address used to locate any resource on web?,URL
What are shared on the Internet and are called as Web pages?,HyperText Documents
Which tag is used to display text in title bar of a web document?,title
"The language that instructs the browser on how to display the hypertext, and adds pictures to the document is",HTML
Which tag is used to identify the keywords describing the site?,Meta
Which are used with a tag to modify its function?,Attributes
"Assuming int is of 4bytes, what is the size of int arr[15]",60
"In general, the index of the first element in an array is",0
Elements in an array are accessed,sequentially
Worst case complexity of  selection sort?,O(n^2)
Best case complexity of insertion sort?,O(n)
Which type of topology is best suited for large businesses which must carefully control and coordinate the operation of distributed branch outlets?,Star 
Which software prevents the external access to a system?,Firewall
"computer software that is released under a license in which the copyright holder grants users the rights to use, study, change, and distribute the software and its source code to anyone and for any purpose. ",Open Source
The maximum length (in bytes) of an IPv4 datagram is?,65535
When the mail server sends mail to other mail servers it becomes?,SMTP Client
The length of an IPv6 address is?,128 bits
Fastest wired mode of data transfer?,Optical Fibre
The term WAN stands for?,Wide area network
"In specific, if the systems use separate protocols, which one of the following devices is used to link two systems?",Gateway
The private key in asymmetric key cryptography is kept by?,Receiver
"In the cryptography, the sequence of the letters is rearranged by?",Transposition Ciphers
